所在城市,医院名称,目前处理进度（不定时更新）,所需物资,规格,地址,联系方式,其他信息,,
恩施,恩施州咸丰县人民医院,,N95/护目镜/外科口罩/一次性医用口罩/正压隔离衣/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,"医用防护口罩GB19083-2010
医用外科口罩YY0469-2011
防护服符合GB19082-2003《医用一次性防护服技术要求》",湖北省咸丰县高乐山镇金烟路天使胡同2号,0718-6822913；陈老师18007266182,,,
恩施,宣恩县,,"N95口罩，应符合《医用防护口罩技术要求》GB19083-2010
医用外科口罩，YY0469-2011医用外科口罩技术
一次性医用防护服，符合《医用一次性防护服技术要求》GB19082-2009
防护眼镜/眼罩/护目镜，视野宽阔、透亮度好、有较好的防溅性能。弹力带佩戴
医用一次性乳胶手套，一次性使用医用橡胶检查手套GB10213-2006
",,湖北省宣恩县恩珠山镇民族路88号,电话5832785；李庆玲13697187794；黄颖15172806624,官网“宣恩新闻网”核实,,
恩施,来凤县,,N95口罩/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,"N95口罩符合《医用防护口罩技术要求》GB19083-2010医用防护服符合《医用一次性防护服技术要求》GB19082-2003防护眼镜视野开阔，有弹力带佩戴，具有防溅功能。医用外科口罩符合YY0469-2010
",湖北省恩施土家族苗族自治州来凤县中心医院,陈炫颖17607187131；林涵：18826909645,,,
恩施,湖北省巴东县人民医院,,防护物资匮乏，需要尽可能多的N95口罩、外科口罩、防护服、防护面罩、医用帽、防护面罩、外科手套、护目镜。,,湖北省巴东县人民医院,龚华（18972402599）、潘世明（13597769588）,,,
云梦,云梦县中医院,,"N95口罩/外科口罩/一次性医用口罩/
手术衣/75%酒精/免洗手消毒液/84消毒液/水银体温计"," 医用防护N95：GB19083-2010
医用外科口罩：YY0469-2010","湖北省云梦县城关镇曲阳路2号
云梦县中医院设备科","0712-4339200
13507294698",,,
云梦,云梦县人民医院,," N95/护目镜/外科口罩/一次性医用口罩/靴子（大码胶鞋）/
防护服/手术衣/防冲击眼罩/防护面罩/医用隔离衣","N95口罩符合《医用防护口罩技术要求》GB19083-2010医用防护服符合《医用一次性防护服技术要求》GB19082-2003防护眼镜视野开阔，有弹力带佩戴，具有防溅功能。医用外科口罩符合YY0469-2010
","湖北省孝感市云梦县城关镇建设路32号
云梦县人民医院办公室","莫科长13429934678
褚科长13797181378",,,
孝感,湖北航天医院,,"外科口罩，N95防护口罩，一次性医用帽，防护服（含鞋套），防护面罩 ，护目镜，一次性手术衣，乳胶手套
",,湖北省孝感市北京路36号,张秋月 13635811433,,,护目镜200个
麻城,麻城市人民医院,,,,湖北省黄冈市麻城市南正街贡家巷20号,"采购中心 0713-2967360
联系人：余主任 15926718660",,,已配送
潜江,潜江市红十字会,,,,,潜江市红十字会：0728-6951960；胡浩月18163085288；赵田18163086257；陈辰18163088883,,,
仙桃,仙桃市第一人民医院,," N95/护目镜/外科口罩/一次性医用口罩/靴子（大码胶鞋）/
防护服/手术衣/防冲击眼罩/防护面罩/医用隔离衣","N95口罩符合《医用防护口罩技术要求》GB19083-2010医用防护服符合《医用一次性防护服技术要求》GB19082-2003防护眼镜视野开阔，有弹力带佩戴，具有防溅功能。医用外科口罩符合YY0469-2010
",仙桃第一人民医院,医院总值班室：0728-3220079；办公室电话0728-3220211；关键13707223566；彭铁军13593918277,,,
,枣阳市第一人民医院,,n95口罩1000 个,,湖北省枣阳市一医院东院区住院部五楼儿科,李先清  13972201059,,,"已配送n95 1000    300个护目镜 10套防护服
"
,安陆普爱医院 ,,n95口罩 500个,,湖北省安陆市太白大道99号安陆市普爱医院耗材科,施老师：15307297308,,,n95口罩 500个
,鄂州市中医医院物,,500个 n95,,湖北省鄂州市滨湖北路12号,物资供应科: 0711-3872233 联系人:王老师13377802338,,,500个 n95
,大悟县人民医院,,护目镜200个,,湖北省孝感市大悟县城关镇前进大道99号 大悟县人民医院设备科,,方向阳 13907291649,,护目镜200个
,国药东风总医院,,护目镜200个,,湖北省十堰市张湾区大岭路16号国药东风总公司,,王老师 13972468860,,护目镜200个
,黄冈市妇幼保健院,,N95口罩（急需），医用外科口罩（急需），免洗手酒精凝胶（急需）医用防护服，医用一次性乳胶手套，护目镜,,湖北省黄冈市黄州区黄州大道31号黄冈市妇幼保健院,,李宝强15377133969,,
,黄冈市黄州区总医院,, 护目镜 200个,,湖北省黄冈市黄州区黄州大道（黄州总医院,,张志刚（总医院采购部部长）18986561333,, 护目镜 200个
,安陆市妇幼保健院,,500个n95,,湖北省孝感市安陆市府城街道儒学路27号妇幼保健院,,丁医生 15972321916 ,,500个n95
,武穴市第二人民医院,,N95口罩，标准GB 19083-2010；医用外科口罩，标准YY 0469-2010；医用防护口罩，标准GB19083-2010；防护服，标准GB 19082-2009；医用一次性乳胶手套，标准GB 10213-2006；防护眼镜、防护面罩、医用帽、防污染鞋套,,湖北省黄冈市武穴市梅川镇明康路西6号,,李锦春15997321063,,已配送
,洪湖市中医医院,,N95/护目镜/外科口罩/一次性医用口罩/靴子（大码胶鞋）/,,  湖北省洪湖市新堤街道文泉西路6号 ,,汤立琪 手机：13545637297,,
,红安县中医院,, N95/护目镜/外科口罩/一次性医用口罩/靴子（大码胶鞋）/,,湖北省黄冈市红安县城关镇胜利街86号,,董文，13607253607,,
